"map","locus","path_name"
"map05131","TR10049-c0_g1_i1","Shigellosis"
"map05131","TR10057-c0_g1_i1utrorf","Shigellosis"
"map05131","TR13280-c0_g1_i1","Shigellosis"
"map05131","TR9139-c0_g1_i1utrorf","Shigellosis"
"map05131","TR12530-c0_g1_i1","Shigellosis"
"map05131","TR10663-c0_g1_i1","Shigellosis"
"map05131","TR8896-c0_g1_i1","Shigellosis"
"map05131","TR9645-c0_g1_i1","Shigellosis"
"map05131","TR452-c0_g1_i1","Shigellosis"
"map05131","TR8109-c0_g1_i1","Shigellosis"
"map05131","TR12299-c0_g1_i1","Shigellosis"
"map05131","TR5172-c0_g1_i1","Shigellosis"
"map05131","TR13675-c1_g1_i1","Shigellosis"
"map05131","TR13026-c0_g1_i1utrorf","Shigellosis"
"map05131","TR7233-c0_g1_i1utrorf","Shigellosis"
"map05132","TR7349-c0_g1_i1utrorf","Salmonella infection"
"map05132","TR5172-c0_g1_i1","Salmonella infection"
"map05132","TR12530-c0_g1_i1","Salmonella infection"
"map05132","TR7233-c0_g1_i1utrorf","Salmonella infection"
"map05132","TR2059-c0_g1_i1","Salmonella infection"
"map05132","TR8834-c0_g1_i1","Salmonella infection"
"map05132","TR452-c0_g1_i1","Salmonella infection"
"map05132","TR12491-c0_g1_i1","Salmonella infection"
"map05132","TR6237-c0_g1_i1utrorf","Salmonella infection"
"map05132","TR13675-c1_g1_i1","Salmonella infection"
"map05132","TR10057-c0_g1_i1utrorf","Salmonella infection"
"map05132","TR14903-c0_g1_i1","Salmonella infection"
"map05132","TR7835-c0_g1_i1","Salmonella infection"
"map05132","TR292-c0_g1_i1","Salmonella infection"
"map05132","TR5003-c0_g1_i1","Salmonella infection"
"map05132","TR8109-c0_g1_i1","Salmonella infection"
"map05132","TR7455-c0_g1_i1","Salmonella infection"
"map05132","TR10663-c0_g1_i1","Salmonella infection"
"map05132","TR14928-c0_g1_i1","Salmonella infection"
"map05132","TR13280-c0_g1_i1","Salmonella infection"
"map05132","TR13944-c0_g1_i1","Salmonella infection"
"map05132","TR13780-c0_g1_i1","Salmonella infection"
"map05132","TR8896-c0_g1_i1","Salmonella infection"
"map05132","TR2387-c2_g1_i1","Salmonella infection"
"map05132","TR2387-c3_g1_i1","Salmonella infection"
"map05132","TR9645-c0_g1_i1","Salmonella infection"
"map05132","TR8062-c0_g1_i1","Salmonella infection"
"map05132","TR9342-c1_g1_i1","Salmonella infection"
"map05133","TR14437-c0_g1_i1","Pertussis"
"map05133","TR5172-c0_g1_i1","Pertussis"
"map05133","TR12744-c0_g1_i1","Pertussis"
"map05133","TR10786-c0_g1_i1","Pertussis"
"map05133","TR8109-c0_g1_i1","Pertussis"
"map05133","TR7889-c0_g1_i1","Pertussis"
"map05133","TR9762-c0_g1_i1","Pertussis"
"map05133","TR13963-c0_g1_i1","Pertussis"
"map05133","TR7233-c0_g1_i1utrorf","Pertussis"
"map05133","TR1774-c0_g1_i1","Pertussis"
"map05133","TR452-c0_g1_i1","Pertussis"
"map05133","TR10057-c0_g1_i1utrorf","Pertussis"
"map05133","TR2059-c0_g1_i1","Pertussis"
"map05133","TR4457-c0_g1_i1","Pertussis"
"map05133","TR3666-c0_g1_i1","Pertussis"
"map05133","TR341-c0_g1_i1","Pertussis"
"map05133","TR1193-c0_g1_i1utrorf","Pertussis"
"map05133","TR14470-c0_g1_i1utrorf","Pertussis"
"map05133","TR10663-c0_g1_i1","Pertussis"
"map05134","TR11389-c0_g1_i1utrorf","Legionellosis"
"map05134","TR5926-c0_g1_i1","Legionellosis"
"map05134","TR3928-c0_g1_i1","Legionellosis"
"map05134","TR4028-c0_g1_i1","Legionellosis"
"map05134","TR4998-c0_g1_i1utrorf","Legionellosis"
"map05134","TR1725-c0_g1_i1","Legionellosis"
"map05134","TR5835-c0_g1_i1","Legionellosis"
"map05134","TR4028-c1_g1_i1","Legionellosis"
"map05134","TR13450-c0_g1_i1","Legionellosis"
"map05134","TR4998-c0_g1_i1","Legionellosis"
"map05134","TR9726-c0_g1_i1","Legionellosis"
"map05134","TR4976-c0_g1_i1","Legionellosis"
"map05134","TR9502-c1_g1_i1","Legionellosis"
"map05134","TR8148-c0_g1_i1","Legionellosis"
"map05140","TR10663-c0_g1_i1","Leishmaniasis"
"map05140","TR8109-c0_g1_i1","Leishmaniasis"
"map05140","TR2059-c0_g1_i1","Leishmaniasis"
"map05140","TR7233-c0_g1_i1utrorf","Leishmaniasis"
"map05140","TR5172-c0_g1_i1","Leishmaniasis"
"map05140","TR7187-c0_g1_i1","Leishmaniasis"
"map05140","TR452-c0_g1_i1","Leishmaniasis"
"map05140","TR10057-c0_g1_i1utrorf","Leishmaniasis"
"map05142","TR9762-c0_g1_i1","Chagas disease (American trypanosomiasis)"
"map05142","TR15202-c0_g1_i1","Chagas disease (American trypanosomiasis)"
"map05142","TR7889-c0_g1_i1","Chagas disease (American trypanosomiasis)"
"map05142","TR4457-c0_g1_i1","Chagas disease (American trypanosomiasis)"
"map05142","TR13435-c0_g1_i1","Chagas disease (American trypanosomiasis)"
"map05142","TR7233-c0_g1_i1utrorf","Chagas disease (American trypanosomiasis)"
"map05142","TR2862-c0_g1_i1","Chagas disease (American trypanosomiasis)"
"map05142","TR8109-c0_g1_i1","Chagas disease (American trypanosomiasis)"
"map05142","TR5172-c0_g1_i1","Chagas disease (American trypanosomiasis)"
"map05142","TR10057-c0_g1_i1utrorf","Chagas disease (American trypanosomiasis)"
"map05142","TR2059-c0_g1_i1","Chagas disease (American trypanosomiasis)"
"map05142","TR3666-c0_g1_i1","Chagas disease (American trypanosomiasis)"
"map05142","TR10663-c0_g1_i1","Chagas disease (American trypanosomiasis)"
"map05142","TR10786-c0_g1_i1","Chagas disease (American trypanosomiasis)"
"map05142","TR1774-c0_g1_i1","Chagas disease (American trypanosomiasis)"
"map05142","TR12744-c0_g1_i1","Chagas disease (American trypanosomiasis)"
"map05142","TR452-c0_g1_i1","Chagas disease (American trypanosomiasis)"
"map05143","TR722-c0_g1_i1","African trypanosomiasis"
"map05143","TR1243-c0_g1_i1","African trypanosomiasis"
"map05143","TR9272-c1_g1_i1","African trypanosomiasis"
"map05143","TR13770-c0_g1_i1","African trypanosomiasis"
"map05145","TR7889-c0_g1_i1","Toxoplasmosis"
"map05145","TR12744-c0_g1_i1","Toxoplasmosis"
"map05145","TR7233-c0_g1_i1utrorf","Toxoplasmosis"
"map05145","TR9762-c0_g1_i1","Toxoplasmosis"
"map05145","TR9502-c1_g1_i1","Toxoplasmosis"
"map05145","TR4457-c0_g1_i1","Toxoplasmosis"
"map05145","TR1699-c0_g1_i1","Toxoplasmosis"
"map05145","TR10786-c0_g1_i1","Toxoplasmosis"
"map05145","TR10057-c0_g1_i1utrorf","Toxoplasmosis"
"map05145","TR10663-c0_g1_i1","Toxoplasmosis"
"map05145","TR1774-c0_g1_i1","Toxoplasmosis"
"map05145","TR11389-c0_g1_i1utrorf","Toxoplasmosis"
"map05145","TR8109-c0_g1_i1","Toxoplasmosis"
"map05145","TR5172-c0_g1_i1","Toxoplasmosis"
"map05145","TR3666-c0_g1_i1","Toxoplasmosis"
"map05145","TR452-c0_g1_i1","Toxoplasmosis"
"map05145","TR2059-c0_g1_i1","Toxoplasmosis"
"map05145","TR9726-c0_g1_i1","Toxoplasmosis"
"map05146","TR5003-c0_g1_i1","Amoebiasis"
"map05146","TR2636-c0_g1_i1","Amoebiasis"
"map05146","TR9355-c0_g1_i1","Amoebiasis"
"map05146","TR13752-c0_g1_i1","Amoebiasis"
"map05146","TR4404-c0_g1_i1utrorf","Amoebiasis"
"map05146","TR13217-c0_g1_i1","Amoebiasis"
"map05146","TR9640-c0_g1_i1","Amoebiasis"
"map05146","TR14699-c0_g1_i1utrorf","Amoebiasis"
"map05146","TR13770-c0_g1_i1","Amoebiasis"
"map05146","TR13780-c0_g1_i1","Amoebiasis"
"map05152","TR2636-c0_g1_i1","Tuberculosis"
"map05152","TR3004-c0_g1_i1","Tuberculosis"
"map05152","TR6715-c0_g1_i1","Tuberculosis"
"map05152","TR6631-c0_g1_i1","Tuberculosis"
"map05152","TR7233-c0_g1_i1utrorf","Tuberculosis"
"map05152","TR1582-c0_g1_i1","Tuberculosis"
"map05152","TR11316-c0_g1_i1","Tuberculosis"
"map05152","TR5003-c0_g1_i1","Tuberculosis"
"map05152","TR7508-c0_g1_i1","Tuberculosis"
"map05152","TR14470-c0_g1_i1utrorf","Tuberculosis"
"map05152","TR9107-c0_g1_i1","Tuberculosis"
"map05152","TR5172-c0_g1_i1","Tuberculosis"
"map05152","TR9082-c0_g1_i1","Tuberculosis"
"map05152","TR13780-c0_g1_i1","Tuberculosis"
"map05152","TR4404-c0_g1_i1utrorf","Tuberculosis"
"map05152","TR12230-c0_g1_i1","Tuberculosis"
"map05152","TR2059-c0_g1_i1","Tuberculosis"
"map05152","TR7385-c0_g1_i1","Tuberculosis"
"map05152","TR9502-c1_g1_i1","Tuberculosis"
"map05152","TR13492-c0_g1_i1","Tuberculosis"
"map05152","TR6240-c1_g1_i1","Tuberculosis"
"map05152","TR9225-c0_g1_i1","Tuberculosis"
"map05152","TR10057-c0_g1_i1utrorf","Tuberculosis"
"map05152","TR6932-c0_g1_i1","Tuberculosis"
"map05152","TR1193-c0_g1_i1utrorf","Tuberculosis"
"map05152","TR5835-c0_g1_i1","Tuberculosis"
"map05152","TR14437-c0_g1_i1","Tuberculosis"
"map05152","TR341-c0_g1_i1","Tuberculosis"
"map05152","TR1842-c0_g1_i1","Tuberculosis"
